Username,Id,Tweet,Location
anniewhitee_,1227023206688731136,"RT @EllieThumann: wake up, eat, sims, eat, face mask, go to bed, repeat.",vibing
AndreTheTruth1,1918712562,RT @CJDeuce_: Slim thug had on gloves mask and was self quarantining and still got it! What that tell ya?,"South Carolina, USA"
cohbee,2412267838,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Speak to my geologist tho
HitsugiChan,149894207,@OMesmua Unrelated but your Mask De Smith profile  picture makes me happy,"South Carolina, U.S.A"
UFOA3,1231644584998047748,"Make your own! Paper towel, 2 rubber bands and a stapler. It’s easy!!","Houston, TX"
mxperception,1054936014861549568,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Kansas, USA"
Bethiebugs,227550953,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Huntsville, AL"
somethhin,1010626457465425921,"RT @OloriOfOloris: Stop wearing face mask if you’re not infected, it’s ghetto af.",Between her thighs
MsTex_as4now,845634435944976384,RT @duty2warn: BREAKING: Fauci discusses new life-saving face mask. https://t.co/qA09uUjbXC,"Texas, USA"
JCKerrigan_LA,803664771593551872,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Los Angeles, CA"
ezele_nick,1140595902,"See Nigerian leaders 
God forbid !!!!",warri
overrunbydogs,540912385,RT @stonecold2050: BREAKING: Fauci discusses new life-saving face mask. https://t.co/1eRcu5RfDg,"Alaska, USA"
Bruce03806204,934373196312338433,"RT @SirajAHashmi: *receives mask*

""why is this all leather and have a zipper?""","Lincoln Park, Chicago"
Explicit_Kay_,42331027,Shid😭 I’m running to get in my car like it’s raining outside with my mask on to get to work and BACK home😫,Unavailable
minniejung_la,1071659704042975232,"RT @Jessica_liujx: #XuKe TikTok Update
Take off the mask~~~ https://t.co/AMws1NeaKs",@กองแอคทวิตที่หายไป
