Username,Id,Tweet
yeshiv03,74935478,RT @nagarjund: Congress MLA Dr Ranganath made sure every MLA entering Vidhan Soudha wore a N95 mask. #COVID19outbreak https://t.co/zdCFq2Ow…
NAZHlWA,3314464902,"RT @kimyaqee2: No one :

DrChrisHingston,1325589402,RT @DrMTempest: #3D printed adapter turns snorkeling mask into a non-invasive ventilator - used in Italy: https://t.co/QQ9VZk3icA via @davi…,"Cardiff, UK"
BellaChris_254,2810446498,"RT @jayp_morgan: Kenyans gather here I teach you some Swahili 😂😂😂
Did you know air mask are referred to as ""BARAKOA"" in Swahili? 
😂😂😂",Kenya
Ms_FREDDIE,543907260,"RT @Morris_Monye: Omashola is safe. He used aso-oke facemask and wore gloves. Go and check the pictures.

Warri did not carry last",Canada
Mykeladeolu,1156520413645684742,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,"Asaba, Nigeria"
standup_1776,69025232,RT @crotts_dan: Yes He Did ❗ https://t.co/4bExB0E98X,"North Carolina, USA"
Luvnediting,330675344,"RT THIS!
MASK information!!",Never Never Land
toria_i_am,2378845469,@sisi_alagboeko @call_me_ayokay Abi.. Using nose mask but body and soul contacting. I'm angry,"Lagos, Ibadan, Nigeria. "
BabygirlShamah,982141520,RT @Northstalgia: Please wear a mask at home too. Especially when you are all alone. It will stop you from eating more.,Dmv 📍
SoylentHHH,249850162,The Mask but for Hulk hands toys,"Portland, OR"
damilola_samuel,415458270,"RT @_Olivah_: Stay safe 

Stay indoors 

Sanitize frequently 

Use face mask

#FightCovid19",Lagos
exzeebit,390142119,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,Ask google!!!
somuthaber,954532837,Halloween Masquerade Mask Haunted House Party Black Wolf Mask https://t.co/c3UlXBwiov,Türkiye
Tholar_Williams,354871111,RT @therealdaddymo1: This one removes his face mask and sneezed. Oluwa pls what is happening? 😩🤦🏾‍♂️🙄😷  https://t.co/CO24xhDcpH,EARTH
JTViper_TTV,121973154,"RT @stone_toss: ""preppers didn't buy equipment to be prepped"" https://t.co/eH6Ow0zMvS","The Meme Fields, Kekistan"
